year,cafe_mac,fave_temp,hangout,latitude,longitude
first year,Nutella rice crispy,28,a beach,39,116
first year,Pizza,24,a forest,48.76024032,-113.7295212
junior,Asparagus,10,the mountains,44.06268774,-92.04459599
sophomore,Pork buns,24,the mountains,-42.877386,147.326354
sophomore,I had a real yummy pork bun today,72,a prairie,44.307729,-69.83185
sophomore,Chicken,18,a city,42.86731188,-76.98167325
senior,Mac and Cheese,15,a beach,48.852994,2.369061
first year,Fruit,20,a beach,-1.032044139,130.5052157
first year,Chicken +rice,25,a beach,3,4
sophomore,sprinkles,16,a beach,38.936589,-94.263674
senior,Seafood Boil,15.5,the mountains,44.267279,-93.3519
first year,Tator Tots,16,the mountains,34.03594,-77.89459
junior,Sweet potato fries,21,a city,48.61718,-113.88067
first year,Creamy Basil Alfredo Pasta,20,a forest,40.71110626,-74.00146312
senior,The mac n' cheese!,23,a beach,40.97303253,-73.96192635
sophomore,Cereal,24,a city,40.7851349,-73.9583811
sophomore,Donut Holes,15,a prairie,40.757048,-115.918669
sophomore,Affogato (combine coffee and ice cream),25,a prairie,44.93784567,-93.19839511
junior,the ice cream,25,a city,44,-93
sophomore,Sweet potato fries,15,a forest,34.44193022,-119.6961268
junior,Fig Goat Cheese Pizza (rare),19,a forest,19.42062689,-99.18200474
junior,Taco day!,23.8,the mountains,63.4047,19.1186
sophomore,Pizza,18,the mountains,43,71
senior,taco,24,a city,51.75350373,-1.2539725
sophomore,bao,20,the desert,37.61997224,-122.4988716
senior,Mac and cheese,18,a beach,42.53398249,-70.78648868
sophomore,Ice cream + brownie mix,27,the mountains,47,90
first year,Pizza,15,a city,44,93
first year,cereal and milk,22,a city,23.960104,120.57639
sophomore,waffles,21,a forest,52.2697,4.5469
junior,Pepperoni Pizza,23,a forest,36.08347381,120.3867353
first year,pizza,24,a forest,48.76018134,-113.7294808
first year,I was pleasantly surprised by the catfish last week (it wasn't overcooked!). ,18,a forest,37.77199911,-122.4794254
first year,Pan-fried salmon,20,a city,44.5979,110.5612
senior,The salad bar,16,a forest,51.50163,-0.14185
first year,Rice and Curry ,22,the mountains,31.157658,121.35321
first year,The fortune cookies,18,a beach,39.98409,-105.27567
junior,black bean burger,27,a city,13.09496,80.25329
senior,Sandwich,26,a forest,36.06571,120.36614
first year,The Waffles,24,a beach,22.099515,-159.389481
sophomore,Tacos,24,the mountains,-26.32674096,31.1430207
first year,Rice Noodles and Saute Chicken!,16,the mountains,39,-120
first year,The beef burgers.,22,a beach,1.181978836,104.3404404
sophomore,Chicken,18.34,a prairie,43.53522,-96.73048
sophomore,Brat,22,the mountains,46,-91
first year,Tacos,21,the mountains,44.911748,-93.235216
senior,Pizza,27,a beach,40,-107
first year,The waffle fries,15,the mountains,47,-124
sophomore,cheesy eggs,16,a beach,5.9094,102.74799
sophomore,Mac and cheese,20,a beach,-33.93289557,18.37677985
sophomore,Cheery Tomatoes!,20,a city,-40.7617306,-71.6463111
junior,French fries,24,a city,18.914964,-102.281228
senior,"I'm out of meal plan for three years, really can't remember :( ",26,a beach,44.9375,-93.160356
sophomore,fried rice,77,the desert,44.94757327,-93.16640675
junior,Chicken breast and white rice.,30,the mountains,46.332,6.78444
junior,Chicken Tenders,17,a forest,36.9989779,-109.0451723
junior,mac and cheese,15,a beach,42.579627,3.004572
sophomore,Burgers,23.889,a city,44.95553141,-93.4274625
junior,Fries,25,a beach,22.13030996,-159.6593983
first year,dessert,20,a city,47.6061,122.3328
first year,Jambalaya ,17,the mountains,44.34326,-68.27331
sophomore,Gouda mac and cheese bake (life changing),22,a beach,39.15990676,-120.1532598
sophomore,Mac and Cheese,26,a beach,44.96691934,-93.62404691
sophomore,Chocolate Ice Cream,23.3,a city,41.45509373,-70.56820643
sophomore,"I love the allergy free station, usually has well-seasoned chicken.",24,a beach,45,93
first year,Asian Stall,28,a beach,18.5441,73.5714
senior,Waffles,25,a beach,-1.69,29.25
sophomore,Pad Thai,25,the mountains,45.65736967,13.78329809
first year,The pork and bean dumplings.,17,the mountains,43.78723784,-110.6830322
